polaridad;tweet
negativo;favor levant pued empres estrateg rentabl pued consecionadasmejor rob sup rentabl patrimoni ecuatorian
positivo;rt coordin mintel oper transparent informacion
negativo;rt carg empres estadounidensesegun portal consej
negativo;puebl vot polit izquierd eleccion canall
positivo;respons social corpor cnt evident brind apoy necesit excelent gestion man ec respald fuerz blanc volant
negativo;jajajajajjajajajajajjajajajajajajajjajajaja tuenti telibl 
negativo;chist
positivo;lind guissesegur ganarassalud
negativo;buen efect sig internet
positivo;rt aniosbsc logr mejor result torne nacionalescon hombr logr vir gan co
negativo;jajaj pas man
positivo;rt apoy equip vid auquist corazon idol puebl auc
negativo;val verg
positivo;transmit noch amarill
negativo;carg auditori public document algui cnt superavit document
negativo;com muerd
negativo;usd mil millon pid gobiern cnt gt teleram notici via
negativo;amig favor ayud carg link
negativo;huyyy jod man demoron ineficient 
negativo;sres tont pens televisor iba tant problem cort servici tant inoperat devuelv televisor servici cac supuestament solucion
negativo;debit banc cort servici banc tom cancel movist banc cancel automat debit bancariosr revis rob descar
negativo;recuerd ayercu pus tech util trabaj sali propagand gobiern imagen sugest vid emple cas miami ferraris final tech
negativo;chuch util ose planificacion tributari util dej cag hij put deberi ingres ecuador gust dej mam verg companii sac
negativo;caballer recib llam brind solucion noch problem recurrent pierd line telefon internet senial intermitent
negativo; cambi plan autorizacion
positivo;acab envi dm
negativo;estim solicitud gener mes solucion pedi cambi post pag prepag vuelt vuelt ayud
positivo;rt jug experient hinch deb sub twitt fot
negativo;franc llam call cent sac quici cualqu enseni modul ton voz habl fastidi llameee
negativo;buen tard quier report dani line telefon encuentr ton llam report cas repuest graci
positivo;renovacion equip pose plan graci
negativo;vot popul comentaristasest capac futbol muyyyyyyyper muuuuuuuyyyyyylej 
negativo;ment circunst ciudadani perjudic negat retor diefier ejecucion bast ment
negativo;produc anual bas prens mercantil interes public
negativo;arregl viern vien arregl internet
negativo;empez privatizacion disfraz concesion hidroelectr extrani sirv interes negoci feo volv pd nid rat bucaram
positivo;rt holgu quinionez conviert ecuatorian qued campeon futbol brasileni ht
